"Series";"Time";"Value"
"BoilerPlateServlet";"2019-12-06T09:58:00+05:30";7
"BoilerPlateServlet";"2019-12-06T09:59:00+05:30";4
"BoilerPlateServlet";"2019-12-06T10:00:00+05:30";9
"BoilerPlateServlet";"2019-12-06T10:01:00+05:30";7
"BoilerPlateServlet";"2019-12-06T10:02:00+05:30";10
"BoilerPlateServlet";"2019-12-06T10:03:00+05:30";8
"BoilerPlateServlet";"2019-12-06T10:04:00+05:30";8
"BoilerPlateServlet";"2019-12-06T10:05:00+05:30";11
"BoilerPlateServlet";"2019-12-06T10:06:00+05:30";5
"BoilerPlateServlet";"2019-12-06T10:07:00+05:30";6
"BoilerPlateServlet";"2019-12-06T10:08:00+05:30";5
"BoilerPlateServlet";"2019-12-06T10:09:00+05:30";2
"BoilerPlateServlet";"2019-12-06T10:11:00+05:30";1
"BoilerPlateServlet";"2019-12-06T10:12:00+05:30";3
"BoilerPlateServlet";"2019-12-06T10:13:00+05:30";2
"BoilerPlateServlet";"2019-12-06T10:14:00+05:30";5
"BoilerPlateServlet";"2019-12-06T10:15:00+05:30";3
"BoilerPlateServlet";"2019-12-06T10:16:00+05:30";3
"BoilerPlateServlet";"2019-12-06T10:17:00+05:30";1
"BoilerPlateServlet";"2019-12-06T10:18:00+05:30";4
"BoilerPlateServlet";"2019-12-06T10:19:00+05:30";2
"BoilerPlateServlet";"2019-12-06T10:20:00+05:30";1
"BoilerPlateServlet";"2019-12-06T10:21:00+05:30";2
"BoilerPlateServlet";"2019-12-06T10:22:00+05:30";4
"BoilerPlateServlet";"2019-12-06T10:23:00+05:30";4
"BoilerPlateServlet";"2019-12-06T10:24:00+05:30";3
"BoilerPlateServlet";"2019-12-06T10:25:00+05:30";6
"BoilerPlateServlet";"2019-12-06T10:26:00+05:30";4
"BoilerPlateServlet";"2019-12-06T10:27:00+05:30";4
"BoilerPlateServlet";"2019-12-06T10:28:00+05:30";9
"BoilerPlateServlet";"2019-12-06T10:29:00+05:30";4
"CASUserAPIClient";"2019-12-06T09:36:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:40:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:41:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:42:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:45:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:46:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:47:00+05:30";4
"CASUserAPIClient";"2019-12-06T09:49:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:53:00+05:30";1
"CASUserAPIClient";"2019-12-06T09:54:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:06:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:07:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:09:00+05:30";4
"CASUserAPIClient";"2019-12-06T10:14:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:21:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:23:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:24:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:25:00+05:30";1
"CASUserAPIClient";"2019-12-06T10:26:00+05:30";2
"CASUserAPIClient";"2019-12-06T10:27:00+05:30";2
"CASUserAPIClient";"2019-12-06T10:28:00+05:30";1
"COBackGroundCheckEditHandler";"2019-12-06T10:16:00+05:30";1
"COBackGroundCheckEditHandler";"2019-12-06T10:28:00+05:30";1
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T09:40:00+05:30";2
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:00:00+05:30";19
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:01:00+05:30";22
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:02:00+05:30";22
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:03:00+05:30";12
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:04:00+05:30";2
